CCCC(=O)OCC(Cc1cncn1C)C(CC)C(=O)OCc1ccccc1,3.78
CCOc1ccccc1O,1.68
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,4.64
Cc1cccc(C)n1,1.68
CC(=O)/C=C/C1C(C)=CCCC1(C)C,3.85
C=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,1.64
CCOC(=O)CC(NC(=O)CCCCSc1ncnc2nc[nH]c12)C(=O)OCC,1.33
c1ccc2c(c1)Sc1ccccc1S2,4.47
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,4.81
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,3.14
O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCNCC1,1.35
Nc1nc2ccccc2o1,1.53
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,1.28
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1S(=O)C(C)(C)C2C(=O)O,2.57
CC1=C(C(=O)Nc2ccccc2)S(=O)CCO1,0.64
N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,3.52
CC(=O)NC1CC(=O)N(c2ccccc2)C1=O,-0.33
O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1,0.96
CC(C)C#N,0.46
OCC(O)c1ccccc1Cl,1.17
CCCCCCC(C)=O,2.37
CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,3.59
CN(C)C(=O)OCc1ccc(I)cc1,3.32
C=CCC1(CC)C(=O)NC(=O)NC1=O,0.95
Cc1nonc1Sc1ccccc1,2.92
NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,1.28
O=S1(=O)NC(C2CC=CCC2)=Nc2ccccc21,2.05
CC(C)c1nnc(SCC(=O)c2ccccc2)n(N)c1=O,2.07
CC(C)CC(N)C(=O)N1CCCC1C(=O)O,-1.76
CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,2.02
CCNC(=O)NCCCCn1nc(-c2ccccc2)ccc1=O,1.83
OCc1cccs1,0.87
CCCCCCC1OC(=O)c2cc(N)ccc21,3.65
CNC(=O)O/N=C/C(C)(C)[N+](=O)[O-],0.36
NC1=C(Cl)C(=O)c2ccccc2C1=O,2.12
CCC(=O)OC1(c2ccccc2)CCN(C)C(C)C1C,3.13
O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13,4.44
c1ccnnc1,-0.72
CCOc1ccccc1N1CCN(CC2CN=C(N)O2)CC1,1.21
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,-0.02
Cc1nn(-c2ccccc2)c(Nc2ccc(C(F)(F)F)cc2)c1[N+](=O)[O-],3.89
O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,-0.515
CNC(=O)O/N=C1\SC(C)OC1C,0.96
CCCCCCCC#N,2.75
